,POM,SOM,Pa,Mic,Phy,Zoo,Ins,OtC,Gas,Cra,Shr,Ph,Sh
POM,,,,,,0.59616,,0.84786,,0.1767,0.37565,,
SOM,,,,,,,0.04658,0.15214,0.11213,0.09115,,,
Pa,,,,,,,0.84822,,0.37132,0.23751,,0.17138,
Mic,,,,,,,0.1052,,0.2474,0.13308,,0.07584,
Phy,,,,,,0.40384,,,,,0.3201,,
Zoo,,,,,,,,,,,0.30425,,0.16468
Ins,,,,,,,,,0.26915,0.18282,,0.15955,
OtC,,,,,,,,,,,,0.13487,0.18823
Gas,,,,,,,,,,0.17873,,0.13043,0.17986
Cra,,,,,,,,,,,,0.16981,0.15441
Shr,,,,,,,,,,,,0.15813,0.17143
Ph,,,,,,,,,,,,,0.13917
Sh,,,,,,,,,,,,,
